age,gender,voted,party,race
71,"FEMALE",1,"UNAFFILIATED","WHITE"
47,"MALE",1,"UNAFFILIATED","WHITE"
29,"MALE",0,"DEMOCRATIC","WHITE"
60,"MALE",1,"REPUBLICAN","WHITE"
84,"MALE",0,"DEMOCRATIC","WHITE"
56,"MALE",1,"DEMOCRATIC","BLACK or AFRICAN AMERICAN"
55,"FEMALE",1,"REPUBLICAN","WHITE"
63,"FEMALE",1,"REPUBLICAN","WHITE"
26,"FEMALE",0,"DEMOCRATIC","WHITE"
59,"FEMALE",1,"DEMOCRATIC","BLACK or AFRICAN AMERICAN"
76,"FEMALE",0,"REPUBLICAN","WHITE"
53,"FEMALE",1,"DEMOCRATIC","BLACK or AFRICAN AMERICAN"
62,"FEMALE",1,"DEMOCRATIC","WHITE"
68,"FEMALE",1,"REPUBLICAN","WHITE"
84,"FEMALE",1,"DEMOCRATIC","WHITE"
56,"FEMALE",1,"REPUBLICAN","WHITE"
46,"FEMALE",1,"DEMOCRATIC","BLACK or AFRICAN AMERICAN"
69,"FEMALE",1,"DEMOCRATIC","WHITE"
67,"MALE",1,"UNAFFILIATED","WHITE"
60,"FEMALE",1,"DEMOCRATIC","BLACK or AFRICAN AMERICAN"
72,"FEMALE",0,"DEMOCRATIC","BLACK or AFRICAN AMERICAN"
57,"FEMALE",1,"UNAFFILIATED","WHITE"
47,"MALE",1,"REPUBLICAN","WHITE"
64,"MALE",1,"DEMOCRATIC","BLACK or AFRICAN AMERICAN"
47,"FEMALE",0,"DEMOCRATIC","BLACK or AFRICAN AMERICAN"
59,"FEMALE",1,"UNAFFILIATED","BLACK or AFRICAN AMERICAN"
64,"MALE",0,"REPUBLICAN","WHITE"
33,"FEMALE",1,"DEMOCRATIC","BLACK or AFRICAN AMERICAN"
59,"MALE",1,"REPUBLICAN","WHITE"
71,"MALE",0,"DEMOCRATIC","WHITE"
58,"MALE",1,"REPUBLICAN","UNDESIGNATED"
51,"FEMALE",1,"DEMOCRATIC","WHITE"
55,"MALE",1,"DEMOCRATIC","WHITE"
53,"MALE",1,"UNAFFILIATED","ASIAN"
74,"FEMALE",0,"DEMOCRATIC","BLACK or AFRICAN AMERICAN"
85,"FEMALE",0,"REPUBLICAN","WHITE"
43,"MALE",0,"UNAFFILIATED","WHITE"
34,"MALE",1,"REPUBLICAN","WHITE"
61,"MALE",1,"DEMOCRATIC","WHITE"
58,"MALE",1,"REPUBLICAN","WHITE"
67,"FEMALE",1,"DEMOCRATIC","WHITE"
53,"MALE",1,"DEMOCRATIC","BLACK or AFRICAN AMERICAN"
46,"MALE",1,"REPUBLICAN","WHITE"
46,"MALE",1,"UNAFFILIATED","WHITE"
48,"FEMALE",1,"UNAFFILIATED","WHITE"
70,"FEMALE",1,"DEMOCRATIC","WHITE"
67,"MALE",1,"REPUBLICAN","WHITE"
92,"MALE",0,"UNAFFILIATED","WHITE"
45,"FEMALE",1,"DEMOCRATIC","BLACK or AFRICAN AMERICAN"
72,"MALE",1,"REPUBLICAN","WHITE"
84,"FEMALE",0,"UNAFFILIATED","BLACK or AFRICAN AMERICAN"
62,"FEMALE",1,"REPUBLICAN","WHITE"
